rho,sigma,xi,F,log_posterior
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.663429,0.171104,1.037710,0.024078,-0.348965
0.730859,0.193469,0.870592,0.026320,-0.541992
0.730859,0.193469,0.870592,0.026320,-0.541992
0.621676,0.181630,0.527168,0.035263,-0.849490
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.584843,0.224317,0.772061,0.040300,-0.745488
0.714806,0.203297,0.151530,0.025730,-1.838482
0.690572,0.194424,1.537873,0.026092,-0.709916
0.690572,0.194424,1.537873,0.026092,-0.709916
0.684489,0.202358,1.244979,0.014241,-1.160626
0.684489,0.202358,1.244979,0.014241,-1.160626
0.684489,0.202358,1.244979,0.014241,-1.160626
0.684489,0.202358,1.244979,0.014241,-1.160626
0.684489,0.202358,1.244979,0.014241,-1.160626
0.684489,0.202358,1.244979,0.014241,-1.160626
0.684489,0.202358,1.244979,0.014241,-1.160626
0.684489,0.202358,1.244979,0.014241,-1.160626
0.684489,0.202358,1.244979,0.014241,-1.160626
0.684489,0.202358,1.244979,0.014241,-1.160626
0.661158,0.265113,0.976511,0.019017,-1.531484
0.661158,0.265113,0.976511,0.019017,-1.531484
0.661158,0.265113,0.976511,0.019017,-1.531484
0.559701,0.254042,0.967767,0.026666,-1.259862
0.559701,0.254042,0.967767,0.026666,-1.259862
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.611848,0.204712,0.659438,0.026367,-0.706508
0.615285,0.211849,0.539604,0.023999,-0.886075
0.615285,0.211849,0.539604,0.023999,-0.886075
0.615285,0.211849,0.539604,0.023999,-0.886075
0.615285,0.211849,0.539604,0.023999,-0.886075
0.615285,0.211849,0.539604,0.023999,-0.886075
0.615285,0.211849,0.539604,0.023999,-0.886075
0.611466,0.144482,1.044849,0.019112,-0.649351
0.611466,0.144482,1.044849,0.019112,-0.649351
0.611466,0.144482,1.044849,0.019112,-0.649351
0.611466,0.144482,1.044849,0.019112,-0.649351
0.611466,0.144482,1.044849,0.019112,-0.649351
0.611466,0.144482,1.044849,0.019112,-0.649351
0.611466,0.144482,1.044849,0.019112,-0.649351
0.670805,0.209496,1.462413,0.021510,-1.005754
0.670805,0.209496,1.462413,0.021510,-1.005754
0.670805,0.209496,1.462413,0.021510,-1.005754
0.670805,0.209496,1.462413,0.021510,-1.005754
0.739831,0.104679,1.226606,0.023643,-1.371185
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.609451,0.192935,1.043281,0.035389,-0.123217
0.569407,0.215689,1.594614,0.034714,-1.805544
0.494209,0.203620,1.900641,0.023576,-1.949915
0.494209,0.203620,1.900641,0.023576,-1.949915
0.494209,0.203620,1.900641,0.023576,-1.949915
